"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040200506","Nut M6x1","1","GB/T889.1-2000"
"2","00775302840601030","Battery holder","1",""
"3","1020999147","Battery","2","Foreign 
configuration"
"","1020999082","Battery","2","Domestic 
configuration"
"4","00772002801620000","The tray welding","1",""
"5","1040200506","Nut M6-8","4","GB/T889.1-2000"
"6","00775800100001110","Rubber pad","2",""
"7","1040200503","Nut M8-8","4","GB/T889.1-2000"
"8","1040301515","Washer 8-200HV","4","GB/T97.1-2002"
"9","00772002801601010","Nylon roller","4",""
"10","1040000469","Bolt M8×55-8.8","4","GB/T5782-2000"
"11","00772002801641010","Fixed plate","1",""
"12","1040200504","Nut M10-8","2","GB/T889.1-2000"
"13","1040000072","Bolt M10×65-8.8","2","GB/T5782-2000"
"14","00772002801801010","After the door plank","1",""
"15","1101000131","Panel lock","1",""
"16","1040000018","Bolt M8×30-8.8","1","GB/T5783-2000"
"17","1040300051","Washer 6-200HV","4","GB/T97.1-2002"
"18","1040101212","Screw M6×20-8.8","4","GB/T818-2000"
