"No.","Material No.","Item and Spec","Qty","Note"
"1","00775602803200000","Ladder","1",""
"2","00772402800001080","Rear cover plate","1",""
"3","1020705980","Conductive band","1",""
"4","00772402800001070","Cover plate","1",""
"5","00772402800001200","Driver installation bracket","1",""
"6","1029909654","Driver assembly","1",""
"7","1020999018","Battery（GB）","8",""
"","1020999049","Battery（CE）","8",""
"8","00772402803600000","Cover plate Ⅱ","1",""
"9","1029906635","LED strobe light","2",""
"10","1020502039","Emergency stop button head","1",""
"11","1020521389","Key switch","1",""
"12","1020104669","Ground controller","1",""
"13","00772402800001140","Controller stop plate","1",""
"14","1020304982","Buzzer","1",""
"15","1029908678","GPS terminal","1",""
"16","1020605226","Continuous current protector","1",""
"17","1020999209","DCDC","1",""
"18","00772402802000000","Electric component mounting 
seat","1",""
"19","1020304978","Disc horn","1",""
"20","00772402801800000","Power unit stop plate Ⅱ","1",""
"21","1020903394","On-board charger","1",""
"22","1010310367","Power unit","1",""
"23","1101000131","Panel lock","2",""
"24","1020521277","Main power switch","1",""
"25","1040302489","Washer 10-200HV","2","GB/T97.1-2002"
"26","1040004034","Bolt M10×40-10.9","2","GB/T5783-2000"
"27","00772402801400000","Tray body","1",""
"28","1109901192","Slide rail","2",""
