"NO.","Material No.","Item and Spec","Units","Remark"
"21","1021403922","Sensor of angle","1",""
"22","1020520996","Main power switch","1",""
"23","1020605226","Continuation flow protector","1",""
"24","1020300083","General purpose relay","1",""
"25","1020304982","Buzzer","1",""
"26","00770502209001160","Drive","1",""
"27","00772002800201070","Front mounting seat plate","1",""
"28","00772002800001120","The motor cover plate","2",""
"29","1040300526","Washer 12","8","GB/T97.1-2002"
"30","1040300054","Washer 12","8","GB/T93-1987"
"31","1040000101","Bolt M12×40-8.8","8","GB/T5783-2016"
"32","00770502204001144","The controller","2",""
"33","1040001595","Bolt M10×35-8.8","4","GB/T5783-2000"
"34","1040301502","Washer 10","4","GB/T93-1987"
"35","00772002801200000","Driver mounting bracket","1",""
"36","1040001680","Bolt M10×30-8.8","2","GB/T5783-2016"
"37","1040301502","Washer 10","2","GB/T93-1987"
"38","00772002800001080","Power uint mounting plate","1",""
"39","00770502213001200","Power unit 2","1",""
"40","00772002800201280","Floor","1",""
