"No.","Material No.","Item and Spec","Qty","Note"
"1","00772402802600000","Outrigger protective hood 
weldsⅠ","2",""
"2","1010202347","Outrigger cylinder","4",""
"3","1040200161","Nut M16-8","16","GB/T889-1986"
"4","1040300052","Washer 16-200HV","16","GB/T97.1-2002"
"5","00775802801001040","Cylinder installation bolt","16",""
"6","00772402800001190","Cylinder pressing plate","16",""
"7","1040200503","Nut M8-8","4","GB/T889.1-2000"
"8","00775802801060000","Stud","4",""
"9","1040202854","Nut M6-8","12","GB/T889.1-2000"
"10","00772402800001010","Outrigger stroke switch 
mounting plate Ⅰ","2",""
"11","1040301610","Washer 6","8","GB/T93-1987"
"12","1040102017","Screw M6×45","1","GB/T70.1-2000"
"13","00772402803500000","Seal plate welds Ⅰ","2",""
"14","00772402803700000","Seal plate welds Ⅱ","2",""
"15","00772402800001020","Outrigger stroke switch 
mounting plate Ⅱ","2",""
"16","1010310279","Outrigger cylinder valve","4",""
"17","00772402803000000","Outrigger protective hood 
weldsⅡ","2",""
