"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040300062","Washer 6","8","GB/T93-1987"
"2","1040101212","Screw M6×20-8.8","8","GB/T818-2000"
"3","1039905229","Slide","2",""
"4","1040100620","Screw M6×16-8.8","8","GB/T818-2000"
"5","1040300051","Washer 6-200 HV","8","GB/T97.1-2002"
"6","1040200506","Nut M6-8","8","GB/T889.1-2000"
"7","00775202800800000","Tray (ZS0407DC)","1",""
"","00775202810400000","Tray (ZS0407DC-Li)","1",""
"8","00775202800200000","Frame","1",""
"9","1040300062","Washer 6","8","GB/T93-1987"
