"NO.","Material No.","Item and Spec","Units","Remark"
"1","1010304724","Check valve","1",""
"2","1140114451","45 degree combined 
connector","1",""
"3","1140101461","Male stud connector","1",""
"4","1019902270","Hydraulic generator","1",""
"5","1040004519","Bolt M8×25-8.8","2","GB/T5783-2000"
"6","1040301510","Washer 8","2","GB/T93-1987"
"7","1040200503","Nut M8-8","2","GB/T889.1-2000"
"8","1040301502","Bolt  M10×50-8.8","2","GB/T5783-2000"
"9","1040004509","Washer 10","2","GB/T93-1987"
"10","1040200504","Nut M10-8","2","GB/T889.1-2000"
