"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","1029901896","Задняя крышка/1011-231-0305","1","2"
"2","1022259178","Соединитель/DT06-3S","1",""
"3","1020700590","Вторичный
замок/W3S-1939-P012","1",""
"4","1020700543","Зажим/1062-16-0122","3",""
"5","1020700540","Соединитель/DT04-3P-P006","1",""
"6","1022260073","Вторичный замок/W3P","1",""
"7","1029900002","Отсечная втулка/282189-1","1","7"
"8","1029900129","Зажим/927770-1","2",""
"9","/","Водонепроницаемый
штекер/828904-1","1",""
"10","1020703635","Защитная оболочка/7807128","1",""
"11","1022200646","Аксессуар
соединителя/1011-227-0205","2","8 、9"
"12","1020700951","Соединитель/DT06-2S","2",""
"13","1022200194","Вторичный замок/W2S","2",""
"14","1020700543","Зажим/1062-16-0122","4",""
"15","1029902634","Отсечная втулка/DSLCT-0032","1","10"
"16","1029900402","Отсечная втулка ITT/HM 26ITT","1",""
"17","1029902633","Маленький штырь
«папа»/маленький штырь
«папа» DSLCT-0202","10",""
"18","1029902631","Большой штырь
«папа»/большой штырь «папа»
DSLCT-0102","4",""
