"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","№ позиции"
"1","1020702639","Цилиндрический
соединитель/HD34-18-14PN","1","1"
"2","1020700543","Контактный штырь/1062-16-0122","8",""
"3","1029900385","Соединитель/DTM06-3S","1","2"
"4","1029900387","Вторичный замок/WM-3S","1",""
"5","1020701496","Розетка/1062-20-0122","3",""
"6","1029900389","Пластиковая задняя
крышка/DTM3S-BT","1",""
"7","1029900384","Соединитель/DTM04-3P","1",""
"8","1029900386","Вторичный замок/WM-3P","1",""
"9","1020701495","Штепсель/1060-20-0122","3",""
"10","1029900388","Пластиковая задняя
крышка/DTM3P-BT","1",""
"11","1029901896","Пластиковая задняя
крышка/1011-231-0305","1","5"
"12","1022259178","Соединитель/DT06-3S","1",""
"13","1020700590","Вторичный
замок/W3S-1939-P012","1",""
"14","1020701496","Розетка/1062-16-0122","3",""
"15","1020700540","Соединитель/DT04-3P-P006","1",""
"16","1022260073","Замок/W3P","1",""
"17","1020701702","Кабель датчика/EVC070","2","6 、7"
"18","1020700949","Соединитель/DT04-2P","1","8"
"19","1022260070","Вторичный замок/W2P","1",""
"20","1020700969","Штепсель/1060-16-0122","2",""
"21","1022200645","Аксессуар
соединителя/1011-229-0205","1",""
"22","1020700951","Соединитель/DT06-2S","1",""
"23","1022200194","Вторичный замок/W2S","1",""
"24","1020700543","Контактный штырь/1062-16-0122","2",""
"25","1022200646","Аксессуар
соединителя/1011-227-0205","1",""
