"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание",""
"21","1040302489","Шайба 10-200HV","24","","GB/T97.1-2002"
"22","1040002434","Болт M10×25-8.8","12","","GB/T5783-2000"
"23","00771100300820000","Балансирный механизм
втягивания стрелы","1","",""
"24","1040302492","Шайба 16-200HV","2","","GB/T97.1-2002"
"25","1040201382","Гайка M16-8","2","","GB/T6170-2000"
"26","1040302493","Шайба 20-200HV","1","","GB/T97.1-2002"
"27","1040201096","Гайка M16- 9","2","","GB/T6182-2000"
"28","1040201484","Гайка M20- 10","1","","GB/T6170-2000"
"29","1040200741","Гайка M20- 10","1","","GB/T889.1-2000"
"30","1040004565","Болт M10×30-8.8","4","","GB/T5783-2016"
"31","1040301502","Шайба 10-200HV","4","","GB/T93-1987"
"32","00771100300001070","Крышка датчика","1","",""
"33","1040302410","Шайба 4-200HV","4","","GB/T97.1-2002"
"34","1040004591","Болт M4×8-8.8","4","",""
"35","00773400300001130","Регулировочная прокладка IV","2","",""
"36","00773400300001140","Регулировочная прокладка V","6","",""
"37","00773400300001150","Регулировочная прокладка Ⅵ","12","",""
"38","00771400301250000","Сухарь","2","",""
"39","00771100301250000","Сухарь","4","",""
"40","00771400301240000","Сухарь","2","",""
"41","00771100301401040","Вкладыш нижнего ползуна","2","",""
"42","1040004507","Болт M10×40-8.8","4","","GB/T5783-2000"
