"№ п/п","Код мат-ла","Наименование и
спецификация","","","Кол-во
штук","Примечание"
"1","00771400301601020","Не требующий смазки
подшипник","","","2",""
"2","00771100800001100","Пластина регулировки зазора
шатунов","","","12",""
"3","1040301503","Шайба 12","","","2","GB/T93-1987"
"4","1040005846","Болт M12×20-8.8","","","6","GB/T5783-2000"
"5","1040004519","Болт M8×25-8.8","","","2","GB/T5783-2000"
"6","00771100800001090","Кронштейн выключателя угла
поворота","","","1",""
"7","1040301515","Шайба 8-200HV","","","2","GB/T97.1-2002"
"8","1040200503","Гайка M8-8","","","4","GB/T889.1-2000"
"9","00771100801400000","Кронштейн вращающегося
соединения","","","1",""
"10","1040101493","Винт M10×55-8.8","","","4","GB/T70.1-2000"
"11","00771100800001010","Буферный блок стрелы","","","2",""
"12","00771100800200000","Сварная конструкция
поворотной платформы","","","1",""
"13","1040201523","Контргайка M10-10","","","6","GB/T6183.1-2000"
"14","1040001640","Болт M6×25-A2-70","","","2","GB/T5783-2000"
"15","00771400800001120","Опора электрического
выключателя","","","1",""
"16","1040300771","Шайба 6-200HV","","","2","GB/T97.1-2002"
"17","1040201896","Гайка M6-8","","","2","GB/T889.1-2015"
"18","00771100800001050","Штифт","","","2",""
"19","00773400400001250","Стопорный штифт","","","2",""
"20","1040004570","Болт M16×30-8.8","","","2","GB/T5783-2000"
"21","1040200161","Гайка M16-8","","","11","GB/T889-1986"
"22","1040302492","Шайба 16-200HV","","","13","GB/T97.1-2002"
"23","1040002447","Болт M16×45-8.8","","","11","GB/T5783-2000"
"24","00771100800801010","Кронштейн I","","","1",""
"25","00771100800810000","Сварка правого кронштейна","","","1",""
"26","00771100800801070","Кронштейн электрического
шкафа управления II","","","1",""
"27","1040004678","Болт останова двери M10×70","","","4",""
"28","1040200113","Гайка M10","","","8","GB/T6170-2000"
"29","1040200507","Гайка M12-8","","","11","GB/T889.1-2000"
"30","00771100800801060","Кронштейн электрического
шкафа управления I","","","1",""
"31","00771100800801030","Кронштейн II","","","1",""
"32","1040302490","Шайба 12-200HV","","","4","GB/T97.1-2002"
"33","1040002439","Болт M12×40-8.8","","","4","GB/T5783-2000"
