"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004619","Болт M8×35-8.8","4","GB/T5783-2000"
"2","1000300735","Расширительный бак","1",""
"3","00771107120601120","Паровой шланг Ⅰ","1",""
"4","00771107120601130","Паровой шланг Ⅱ","1",""
"5","00771107120601150","Кронштейн перегородки Ⅰ","1",""
"6","00771107120601010","Монтажная панель водяного
бака","1",""
"7","1040004518","Болт M8×20-8.8","10","GB/T5783-2000"
"8","1040301515","Шайба 8-200HV","38","GB/T97.1-2002"
"9","1040200503","Гайка M8-8","24","GB/T889.1-2000"
"10","00771107120601020","Кронштейн перегородки Ⅲ","1",""
"11","00771107120601180","Прижимная планка","3",""
"12","00771107120601170","Ветровой щит","1",""
"13","1040004519","Болт M8×25-8.8","14","GB/T5783-2000"
"14","00771407100601150","Пластина Ⅱ","2",""
"15","1040004517","Болт M8×16-8.8","10","GB/T5783-2000"
"16","00771107120601160","Кронштейн перегородки Ⅱ","1",""
"17","1000300776","Блок радиатора","1",""
"18","00771407100601170","Подкладка","6",""
"19","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"20","00773407130601210","Губка изоляции","1",""
"21","1040002262","Болт M12×55-10.9","4","GB/T5783-2000"
"22","1040300041","Шайба 12-200HV","8","GB/T97.1-2002"
"23","1990202283","Хомут червяка и червячного
колеса шайбы","2",""
"24","00771107120601080","Возвратный шланг Ⅰ","1",""
"25","1990202279","Хомут червяка и червячного
колеса","4",""
"26","00771107120601100","Возвратная стальная труба","1",""
