"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во штук","Примечание"
"21","1040302489","Шайба 10-200HV","8","GB/T97.1-2002"
"22","1040002435","Болт M10×35-8.8","8","GB/T5783-2000"
"23","00771407120601040","Водопроводная труба O25×3.5","1",""
"24","00771407100601170","Подкладка T2","6",""
"25","1000300776","Блок радиатора 4821.217.0000v1","1",""
"26","1040002262","Болт M12×55-10.9","4","GB/T5783-2000"
"27","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"28","1040200507","Гайка M12-8","4","GB/T889-1986"
"29","00771407120601120","Изогнутая пластина II Tp4","1",""
"30","1040004517","Болт M8×16-8.8","11",""
"31","1040200503","Гайка M8-8","22","GB/T889.1-2000"
"32","00771407120601190","Пластина III Tp4","1",""
"33","1040301515","Шайба 8-200HV","33","GB/T97.1-2002"
"34","1040004520","Болт M8×30-8.8","2","GB/T5783-2000"
"35","00771407120601180","Пластина II Tp4","2",""
"36","1040004519","Болт M8×25-8.8","16","GB/T5783-2000"
"37","00771407120601170","Пластина I Tp4","2",""
"38","00771407120601150","Ветровой щит T6","1",""
