"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","00771406200220000","Электрический шкаф управления
поворотной платформой","1",""
"2","00771406200220000","Электрический шкаф управления
поворотной платформой","0",""
"3","/","Уровень топлива","/",""
"4","/","Водо-масляный сепаратор","/",""
"5","/","Клапан втягивания стрелы","/",""
"6","/","Поворот вправо поворотной
платформы","/",""
"7","/","Поворот влево переднего колеса","/",""
"8","/","Клапан выдвижения стрелы","/",""
"9","/","Клапан подъема стрелы","/",""
"10","/","Поворот влево поворотной
платформы","/",""
"11","/","Поворот вправо переднего колеса","/",""
"12","/","Расходный клапан платформы","/",""
"13","/","Расходный клапан
выдвижения-втягивания стрелы","/",""
"14","/","Расходный клапан подъема
стрелы","/",""
"15","/","Расходный клапан вращения
поворотной платформы","/",""
"16","1029906298","Концевой выключатель угла
поворота поворотной платформы","1",""
"17","/","Плавающий клапан управления","/",""
"18","/","Тормозной клапан","/",""
"19","/","Двухскоростной клапан","/",""
"20","/","Общественная земля","/",""
