"序号","物料编码","名称及规格","版本","件数","备注"
"1","00771407030201152","危险-未经授权禁止操作","A","2",""
"2","00773407000201472","防止烫伤标识","A","2",""
"3","00773407002001172","禁止触碰标识","A","1",""
"4","00773407000201432","起吊点","A","2",""
"5","02555407010201152","机罩安全标识","A","1",""
"6","00773407000201242","禁止起吊","A","2",""
"7","00773407010231022","夹手危险","A","2",""
"8","02555407010231062","依说明书拆卸","A","2",""
"9","00773407000231582","捆绑与禁止起吊组合标贴","A","6",""
"10","00773407000201272","禁止水冲","A","3",""
"11","02551707000201042","无字化倾翻危险230KG-340KG","A","2",""
"12","02551707000221022","ZT29JS-V运输提升说明","A","1",""
"13","02555407010201132","挤压与电击危险","A","2",""
"14","00771407000201122","ZOOMLION-机罩","A","2",""
"18","00773407000231592","捆绑点与起吊点组合标贴Ⅰ","A","2",""
"19","00775607000401322","不绝缘标签","A","2",""
"20","00773407000231252","插止动销","A","1",""
"21","02551507030201120","黄色箭头","A","3",""
"22","02551507030201110","蓝色箭头","A","3",""
