"№","п/п  Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00773406200210000","Электрический шкаф управления платформой в 
сборе","1",""
"2","1040200503","Гайка M8-8","6","GB/T 889,1-2000"
"3","1040302480","Шайба 8-200HV","12","GB/T 96,1-2002"
"4","00773406300201030","Каучуковая прокладка","2",""
"5","1040004619","Болт M8×35-8,8","4","GB/T 5783-2000"
"6","1040201896","Гайка M6-8","13","GB/T 889,1-2000"
"7","1040300771","Шайба 6-200HV","23","GB/T 97,1-2002"
"8","00773400100261110","Упор","2",""
"9","1040006017","Винт M6×25-A2-70","9","GB/T 70,1-2000"
"10","00773400100260020","Защитный кожух","1",""
"11","00773400200261060","Болт","2",""
"12","00773400100261050","Подшипник","2",""
"13","1040005844","Болт M6×10-A2-70","4","GB/T 5783-2000"
"14","00773400100261030","Пластина II","1",""
"15","1040102646","Винт M6×12-8.8","2","GB/T 70,3-2000"
"16","00773400100261080","Упорная планка","2",""
"17","1020521022","Педальный переключатель","1",""
"18","00771400100201020","Шайба собственного производства","3",""
"19","00771400100401080","Болт собственного производства","1",""
"20","1040004653","Болт M12×30-10,9","18","GB/T 5783-2000"
"21","1040302490","Шайба 12-200HV","16","GB/T 97,1-2002"
"22","","00771600100001040 Регулирующая прокладка качающегося цилиндра","1",""
"23","1040301511","Шайба 24-200HV","3","GB/T 97,1-2002"
"24","1040201111","Гайка M24 -10","1","GB/T 889,1-2000"
"25","1040302821","Шайба 12-200HV","2","GB/T 96,1-2002"
"26","00771600100200000","Узел платформы","1",""
"27","00771600100400000","Узел кронштейна","1",""
"28","1040102372","Винт M6×20-A2-70","2","GB/T 70,1-2000"
"29","00771600101400000","Защитная крышка гидровлического клапана 
платформы","1",""
"30","00771600101600000","Сварной элемент кронштейна гидравлического 
клапана","1",""
