"№
 п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040002447","Болт M16×45-8,8","2","JB/T5783-2000"
"2","00773400400001250","Стопорный штифт","2",""
"3","00771600301001170","Штырь цилиндра","2",""
"4","00771500301010000","Гидроцилиндр 
выдвижения-втягивания","1",""
"5","00771600301201020","Подшипник, не требующий смазки","2",""
"6","1040004522","Болт M8×50-8,8","4","JB/T5783-2000"
"7","1040301515","Шайба 8","4","GB/T97.1-2002"
"8","00771600800001100","Трубный зажим I","4",""
"9","1040101643","Винт M6×30-A2-70","2","GB/T70.1-2000"
"10","1040302487","Шайба 6","2",""
"11","00771400710001080","Неподвижный держатель кабеля","1",""
"12","00771500300200000","1-я секция стрелы","1",""
"13","00771500301220000","Боковая пылезащитная щетка","2",""
"14","00771600301410000","Верхняя пылезащитная щетка","1",""
"15","00771500301230000","Нижняя пылезащитная щетка","1",""
"16","1040004591","Болт M3×8-8.8","4","JB/T5783-2000"
"17","1040302484","Шайба 4","4",""
"18","00771900310001060","Капот датчика","1",""
"19","00771600300001040","Прокладка","3",""
"20","1040002433","Болт M10×20-8.8","8","JB/T5783-2000"
"21","00771400301401080","Регулировочная шайба IV","8",""
"22","00773400300001140","Регулировочная шайба Ⅴ","8",""
"23","00771100301310000","Ползун","6",""
"24","1040002434","Болт M10×25-8.8","14","JB/T5783-2000"
"25","1040302489","Шайба 10","22","GB/T97.1-2002"
"26","00771500301240000","Ползун","2",""
"27","1040201111","Гайка M10","3","JB/T889-1986"
"28","1040201092","Гайка M10","3","JB/T6170-2000"
"29","1040200741","Гайка M10","2","GB/T889.1-2000"
"30","1040301511","Шайба 24","1","GB/T97.1-2002"
"31","1040201093","Гайка M10","2","JB/T6170-2000"
"32","1040302493","Шайба 20","2","GB/T97.1-2002"
