"№ п/п","Код материалов","Наименование и","Кол-в","Примечание"
"1","1040004519","Болт M8×25-8,8","29","JB/T5783-2000"
"2","1040302480","Шайба 8-200HV","130","GB/T96.1-2002"
"3","1040201880","Гайка M8-6","29","JB/T802-1988"
"4","00771501100001040","Уплотняющая плита Tp2","1",""
"5","00771501100001070","Уплотняющая плита Tp2","1",""
"6","00771501100001080","Уплотняющая плита Tp2","1",""
"7","00771601102001020","Круглая сталь 10","1",""
"8","1040200113","Гайка M10-8","16","JB/T6170-2000"
"9","1040302512","Шайба 10-200HV","28","GB/T96.1-2002"
"10","00771501102001010","Изогнутая плита Tp6","1",""
"11","1040004507","Болт M10×40-8.8","8","JB/T5783-2000"
"12","1040200504","Гайка M10-8","8","GB/T889.1-2000"
"13","1110100317","Пневматическая пружина","4",""
"14","1040201382","2065UF
Гайка M16 -8","14","JB/T6170-2000"
"15","1040301505","Шайба 16","18","JB/T93-1987"
"16","1040302492","Шайба 16-200HV","18","GB/T97.1-2002"
"17","00771601100001010","Нажимная плита Tp10","2",""
"18","00771501100400000","Опора для установки","2",""
"19","1040002446","Болт M16×40-8,8","4","JB/T5783-2000"
"20","00771501100800000","Опора для установки","1",""
"21","00771601100400000","II
Сварка лево-переднего капота","1",""
"22","00771601100001100","Проволочная растяжка","1",""
"23","1100700163","Ручка двери 26983-09","3",""
"24","1040300771","Шайба 6-200HV","27","GB/T97.1-2002"
"25","1040101643","Винт M6×30-A2-70","1","GB/T70.1-2000"
"26","00771401110001020","Монтажная плита","1",""
"27","1109900766","Замок двери аккумулятора","2",""
"28","00771601100600000","Сварка лево-заднего капота","1",""
"29","00771501100600000","Опора для установки","1",""
"30","1040201089","Гайка M8-8","46","JB/T6170-2000"
"31","1040301510","Шайба 8","30","JB/T93-1987"
"32","1040004520","Болт M8×30-8,8","36","JB/T5783-2000"
"33","1101000089","Шарнир CCM-Z270","6",""
"34","00771601100001140","Прокладка Tp10","4",""
