"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"8","1040004499","Болт","А","3","JB/T5783-2000"
"11","00773400400001170","Стопорный штифт","E","2",""
"38","1040302489","Шайба","B","12","GB/T97.1-2002"
"39","1040301502","Шайба","А","5","JB/T93-1987"
"49","02552000810400000","Противовес поворотной 
платформы","C","1",""
"50","1040301521","Шайба","А","8","JB/T1230-1991"
"51","1040004530","Болт","А","8","JB/T1228-1991"
"52","1040302483","Шайба","B","8","GB/T96.1-2002"
"53","02552000810001110","Опорный блок","B","1",""
"54","1040007221","Болт","А","2","JB/T5782-2000"
"55","1040302480","Шайба","B","6","GB/T96.1-2002"
"56","1040004518","Болт","А","5","JB/T5783-2000"
"57","02552000810001080","Кронштейн главного клапана","А","1",""
"59","1040201882","Гайка","А","1","JB/T6172-2000"
"60","1040002450","Болт","А","1","JB/T5783-2000"
"61","02552000810001050","Штифт","А","1",""
"62","00771900820001270","Нажимной рычаг","А","2",""
"63","02552000810001040","Тяга","А","4",""
"64","1040200504","Гайка","А","6","GB/T889.1-2000"
