"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примеч
ание"
"1","00771606200450010","Провод от положительного
полюса аккумулятора к
стартерному двигателю","1",""
"2","00771606200434060","Провод от положительного
полюса аккумулятора к
предохранителю подогрева и
генератору","1",""
"3","1020605356","Кольцевой предохранитель","1",""
"","0067220632181001A-c","Кронштейн кольцевого
предохранителя","1",""
"","1020402443","Изоляционная гайка","1",""
"4","1020305006","Контактор постоянного тока","0",""
"5","00771606200450100","Провод от реле к подогревателю","1",""
"6","1029905348","Аккумулятор","0",""
"7","00771606200450020","Провод от отрицательного
полюса аккумулятора к ручному
переключателю","1",""
"8","1029900667","Ручной переключатель","1",""
"9","00771606200450030","От ручного переключателя к
жгуту заземления","1",""
"10","00771406200450060","Провод от двигателя к
отрицательному заземлению","1",""
"11","1020605356","Кольцевой предохранитель","1",""
"","0067220632181001A-c","Кронштейн кольцевого
предохранителя","1",""
"","1020402443","Изоляционная гайка","1",""
"12","00771606200450050","Провод от вспомогательного
силового насоса к
предохранителю","1",""
