"№ п/п","Код мат-ла","Наименование и спецификация","Кол-в
о
штук","Примечание"
"1","00771600300000000","Стрела в сборе","1",""
"2","00771600701200000","Длинная стальная буксируемая
цепь","1",""
"3","00771600700400000","Опорная труба длинной цепи","1",""
"4","00771600701400000","Короткая стальная буксируемая
цепь","1",""
"5","00771600700600000","Опорная труба короткой цепи","1",""
"6","00771600700001110","Опорная плита","6",""
"7","1040002433","Болт M10×20-8.8","12","GB/T5783-2000"
"8","1040302489","Шайба 10-200HV","44","GB/T97.1-2002"
"9","00771600700001060","Внешний трубный зажим","6",""
"10","00771600700001050","Внутренний трубный зажим","6",""
"11","1040102773","Винт M6×40-8.8","12","GB/T70.1-2000"
"12","00771600700001070","Регулировочная прокладка","2",""
"13","1040301502","Шайба 10","8","GB/T93-1987"
"14","1040103121","Винт M10×35-8.8","16","GB/T70.2-2000"
"15","1040004565","Болт M10×30-8.8","8","GB/T5783-2016"
"16","00771600701600000","Неподвижный кронштейн","1",""
"17","00771600700001030","Сухарь","2",""
"18","00771600700001040","Неподвижная плита","2",""
"19","1040103115","Винт M8×65-8.8","9","GB/T70.1-2000"
"20","00771600700001080","Регулировочная прокладка","2",""
