"21","1040004565","Болт M10×30-8.8-DKL","16","GB/T5783-2016"
"22","00771602800001300","Плита","4",""
"23","1040004245","Болт M8×55-8.8","4","GB/T27-1988"
"24","00771602803200000","Ограничительный штифт","4",""
"25","1040101492","Болт M10×25-8.8","8","GB/T70.1-2000"
"26","00771602800400000","Сварная конструкция
качающейся рамы","1",""
"27","00771602801200000","Гидроцилиндр
выдвижения-втягивания
выносной опоры","4",""
"28","00771602800001320","Регулировочная прокладка
гидроцилиндра
выдвижения-втягивания","48",""
"29","00771602800001310","Нажимная пластина
гидроцилиндра
выдвижения-втягивания","8",""
"30","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"31","1040002265","Болт M8×25-10.9","16","GB/T5873-2000"
"32","00771602800610000","Сварная конструкция выносной
опоры","4",""
