"№ п
/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","00771602800610000","Сварная конструкция выносной
опоры","4",""
"2","1040100421","Винт M8×20-8.8","8","GB/T70.3-2000"
"3","00771602802200000","Гидроцилиндр рулевого управления","4",""
"4","00771602800001190","Перегородка","4",""
"5","00771602800001180","Монтажная панель датчика","4",""
"6","00771602800001200","Перекрывающая пластина","4",""
"7","1040100857","Винт M6×15-8.8","20","GB/T70.1-2008"
"8","1040002434","Болт M10×25-8.8","64","GB/T5783-2000"
"9","1040302489","Шайба 10-200HV","64","GB/T97.1-2002"
"10","00771602800001010","Верхний поворотный главный
штифт","4",""
"11","00771602800001020","Износостойкая пластина","8",""
"12","00771602800001470","Не требующий смазки подшипник
IV","8",""
"13","00771602802000000","Сварная конструкция поворотной
рамы","4",""
"14","1040004520","Болт M8×30-8.8","4","GB/T5783-2000"
"15","00773400300001070","Подшип.","8",""
"16","00771602801000000","Гидроцилиндр рулевого управления","4",""
"17","00771602800001450","Гидроцилиндр рулевого управления
pаспорная втулка","4",""
"18","00771602800001080","Гидроцилиндр рулевого управления","4",""
"19","00771602800001330","Не требующий смазки подшипник I","4",""
"20","1040004511","Болт M12×30-8.8","4","GB/T5783-2000"
"21","00773400200001070","Стопорный штифт","4",""
"22","00771602800001130","Нижняя перекрывающая пластина","4",""
"23","00771602800001120","Нижний поворотный главный
штифт","4",""
