"№ п/п","Код материалов","Наименование и
спецификация","Кол-во","Примечание"
"1","1140107814","Прямой соединитель","1","GE08L7/16UNFOMDCF"
"2","1010001791","Основный насос","1","JR-R-S45B-LS-21-20-NN-N-3-
C2NE-A8N-NNN-JJJ-NNN"
"3","1140105246","Прямой соединитель","1","GE15L7/8UNFOMDCF"
"4","1140101484","Тройной композитный
штуцер","1","ET15LOMDCF"
"5","1140101478","Прямоугольный
композитный штуцер","1","EW15LOMDCF"
"6","1140114652","Прямой соединитель","2","GEO28LM27/2OMDCF"
"7","1140101478","Прямоугольный
композитный штуцер","3","EW15LOMDCF"
"8","1149901793","Прямой соединитель","3","GEO15LM27/2OMDCF"
"9","1140111291","Тройной композитный
штуцер","2","EL12LOMDCF"
"10","1010002059","Закрытый насос","1","MP1-P-28R-AM-NNN-MA4-C
2-F-G4-R-D22-N-345-345-NN-
N-24-C1-RAC-NNN-NNNN"
"11","1010002058","Закрытый насос","1","MP1-P-28R-AM-NNN-MA4-C
2-F-G5-R-D22-N-345-345-NN-
N-24-C1-RAC-NNN-NNNN"
"12","1140113942","Прямой соединитель","4","GEO12LM14/1.5OMDCF"
"13","1140114651","Проходной соединитель
удлинительного конца","2","GEO16SM27/2OMDCF-L65"
"14","1040302490","Шайба","6","12-200HV"
"15","1040000575","Болт","6","M12×35-10.9"
"16","1140114653","Прямой соединитель","2","GEO16SM27/2OMDCF"
"17","1019901008","Проходной
комбинированный
соединитель","1","GZ15LCF"
"18","1140112718","Проходное переходное
соединение","1","GR22/15LCFX"
