"№ п/п","Код","Наименование","Колич ество","Примечание"
"1","00771606200434010","Положительный
электрод
аккумуляторной
батареи
подключен
к
пусковому
двигателю.","1",""
"2","00771606200434060","Положительный
полюс
аккумулятора
подключен
к
предохранители
подогрева
и
двигателю","1",""
"3","1020605356","Кольцевой предохранитель","1",""
"","0067220632181001A-
c","Опора
кольцевого
предохранителя","1",""
"","1020402443","Изоляционная гайка","1",""
"4","1020305006","Контактор постоянного тока","0",""
"5","00771606200434070","Соединительный
провод
между реле и подогревателем","1",""
"6","1029905348","Аккумулятор","0",""
"7","00771606200434020","Провод
от
отрицательного
полюса
аккумулятора
к
ручному переключателю","1",""
"8","1029900667","Ручной переключатель","1",""
"9","00771606200434030","От
ручного
выключателя
до
перемычки металлизации","1",""
"10","00771406200434050","Соединительный
провод
между
двигателем
и
металлизацией","1",""
"11","1020605356","Кольцевой предохранитель","1",""
"","0067220632181001A-
c","Опора
кольцевого
предохранителя","1",""
"","1020402443","Изоляционная гайка","1",""
"12","00771606200434040","Соединительная линия между
вспомогательным
силовым
насосом и предохранителем","1",""
