"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"40","00771900800001080","Прокладка Tp2","2",""
"41","00771900800001050","Подшипник, не требующий смазки O100×5","4",""
"42","00771900800001061","Втулка IOw98×3*","1",""
"43","00771900800600000","Цилиндр подъема вылета","1",""
"44","00771900800001021","Штырь IIφ90*","1",""
"45","00773400300001200","Стопорный штифт φ10×80","1",""
"46","00771400800001110","Регулировочная шайба Tp1","3",""
"47","00771400800001100","Прокладка T28*","1",""
"48","00771400800001030","Штырь φ32*","1",""
"49","00771400800001020","Самосмазывающийся подшипник O40×4×40","2",""
"50","1040004508","Болт M10×45-8.8","2","JB/T5783-2000"
"51","00773400800001150","Накладка колодки T6*","1",""
"52","00771900800001071","Втулка IIOw98×3*","1",""
"53","1040301503","Шайба 12","4","JB/T93-1987"
"54","00771600800001240","Тяга Iφ16*","2",""
"55","00771600800001090","Нажимная планка ITp5","1",""
"56","1040200504","Гайка M10-8","2","GB/T889.1-2000"
"57","00771900800001030","Монтажная плита аккумулятора Tp8","1",""
"58","1040004507","Болт M10×40-8.8","2","JB/T5783-2000"
"59","1040302512","Шайба 10-200HV","4","GB/T96.1-2002"
"60","1040002434","Болт M10×25-8.8","5","JB/T5783-2000"
"61","1040302513","Шайба 16-200HV","1","GB/T96.1-2002"
"62","00771400800001140","Изогнутая пластинка Tp10","1",""
"63","1040201875","Гайка M10-8","6","GB/T889.1-2000"
"64","1040200574","Гайка M5-8","1","JB/T6170-2000"
"65","1040004669","Болт M5×20-8,8","1","JB/T5783-2000"
"66","00771400801800000","Штифт в сборе","1",""
"67","1040004516","Болт M8×15-8,8","4","JB/T5783-2000"
"68","00771600800001050","Кронштейн установки насоса аварийного
двигателя Tp5","1",""
"69","1040201896","Гайка M6-8","2","GB/T889.1-2015"
"70","1040300771","Шайба 6-200HV","2","GB/T97.1-2002"
"71","1040002738","Болт M6×12-A2-70","9","JB/T5783-2000"
