"No.","Material Code","Item and Spec","Qty","Remark"
"1","00773407000201061","Label- Refuel 160×80","2",""
"2","00773407000401071","Hazard- Electrocution hazards160×80","4",""
"5","00773407000401151","Caution- Cut off battery 60×80","1",""
"7","00773407000401171","Hazard- Prohibit contact 60×80","1",""
"11","00773407000401211","Hazard- Crushing hazard160×80","2",""
"14","00773407000201241","Label- Prohibit lifting 45×60","6",""
"15","00773407000401251","Label- Plug stop pin when transporting 120×80","1",""
"17","00773407000401271","Warn- Prohibit high pressure water-beaktest 160×80","2",""
"18","00771407000401151","Label- Diesel oil tank 160×80","2",""
"20","00773407000401561","Hazard- Tip-over hazard III 120×60","4",""
"21","00773407000401371","Hazard- Explosion hazard I1 60×80","2",""
"22","00773407000401381","Hazard- Explosion hazard II1 60×80","1",""
"26","00773407000201421","Label- Tie down 45×60","8",""
"27","00773407000201431","Label- Prohibit lifting 45×60","4",""
"29","00773407010401021","Caution- Risk of Pinching Hand
120×60","2",""
"30","00773407000401471","Hazard- Burn hazards 160×80","2",""
"32","00771607000401011","Label- Wheel load 100×60","4",""
"33","00772107000401021","Danger- Tip-over hazard V 320×80","2",""
"34","00772107000401041","Label- Transport and Lift Instruction 320×120","1",""
"37","00771407000201080","Label- Blue arrow 210×180","3",""
"38","00771407000201090","Label- Yellow arrow 210×180","3",""
"41","00771407000201120","Label- ZOOMLION 960×120","2",""
"45","00773407000201030","Label- ZOOMLION 800×100","1",""
"46","1109900961","Warning Tape","-",""
"47","00775607000401321","Non-insulated Decal 100×50","2",""
