"N
o.","Material No.","Item and Spec","Qty","Remark"
"35","1040004595","Bolt M10×180-8.8","3","GB/T5782-2000"
"36","00772100301001020","First retracting wire rope","2",""
"37","00772100300211010","Anti-rotating pipe","2",""
"38","1040201484","Nut M20-10","2","GB/T6170-2000"
"39","1040200741","Nut M20-10","2","GB/T889.1-2000"
"40","00772100301001120","Snap-gauge Tp5","2",""
"41","1040005844","Bolt M6×10-A2-70","4","GB/T5783-2000"
"42","1040300771","Washer 6-200HV","28","GB/T97.1-2002"
"43","00772100300001070","Sensor","1",""
"44","00772100301231010","Brush board","1",""
"45","00772100301231020","Brush","1",""
"46","00772100301241010","Brush board","1",""
"47","00772100301241020","Brush","1",""
"48","1040201882","Nut M16","6","GB/T6172-2000"
"49","00772100301201120","Bolt","4",""
"50","1040002434","Bolt M10×25-8.8","6","GB/T5783-2000"
"51","00771900301201020","Adjustable gasket Tp1.5","4",""
"52","00771900301201050","Adjustable gasket Tp1","2",""
"53","00772100301251010","Slider","2",""
"54","00771100301301020","Hexagon nut","6",""
"55","1040000135","Bolt M8×55-8.8","2","GB/T5783-2000"
"56","1040302480","Washer 8-200HV","2","GB/T96.1-2002"
"57","1040004608","Bolt M12×45-8.8","4","GB/T5782-2000"
"58","00772100301201060","Slider","2",""
"59","1040301503","Washer 12","4","GB/T93-1987"
"60","1040302490","Washer 12-200HV","4","GB/T97.1-2002"
"61","00772100301201030","Pressing plate Tp12","1",""
"62","00772100301201020","Slider T20","14",""
"63","00772100301201090","Upper slider ⅠT130*","1",""
"64","00771900301201060","Block Ow20×3.5","4",""
