"No.","Material No.","Item and Spec","Qty","Remark"
"1","1040004656","Bolt M10×65-8.8","3","GB/T5782-2000"
"2","00771400710001020","Pressing plate Tp4","5",""
"3","00771600700001010","Pipeline pressing block T15","10",""
"4","1040103121","Screw M10×35-8.8","16","GB/T70.2-2000"
"5","1040302489","Washer 10-200HV","38","GB/T97.1-2002"
"6","00772100700400000","Long chain pipe","1",""
"7","1040200504","Nut M10-8","23","GB/T889.1-2000"
"8","00772100701200000","Long steel chain","1",""
"9","1040002458","Bolt M8×40-8.8","31","GB/T5783-2000"
"10","00771900700001080","Pressing plate Tp4","1",""
"11","00771900700001070","Pipe clamp T28*","1",""
"12","00771900700001010","Wiring duct support plate Tp8","1",""
"13","00772100701600000","Bracket II","1",""
"14","00772100700001030","Wiring duct upper cover 
Tp1.5","1",""
"15","00772100700800000","Wiring duct lower cover","1",""
"16","1040302480","Washer 8-200HV","28","GB/T96.1-2002"
"17","1040002433","Bolt M10×20-8.8","14","GB/T5783-2000"
"18","00772100701000000","Bracket","1",""
"19","00771900700001050","Wiring duct upper cover 
Tp1.5","6",""
"20","00771900701800000","Wiring duct lower cover","6",""
"21","00772100700200000","Long chain bracket","4",""
"22","00772100701400000","Short steel cable chain","1",""
"23","00772100700600000","Short cable chain pipe","1",""
"24","1040101995","Screw M10×30-8.8-DKL","4","GB/T70.1-2000"
"25","00771600700001130","Pressing plate Tp4","2",""
