"№ п/п","Код материалов","Наименование и спецификация","Версия","Кол-во","Примечание"
"21","1040302489","Шайба","B","27","GB/T97.1-2002"
"194","1040002433","Болт","А","6","JB/T5783-2000"
"195","02552900302300000","Штифт шкива выдвигающей стрелы","C","1",""
"196","02552900302201100","Износостойкая прокладка","А","12",""
"197","02552900302240000","Шкив выдвигающей верхней стрелы","А","3",""
"198","02552900302201310","Оцинкованный стальной трос выдвижной верхней стрелы","А","3","PT07=21_Оцинкованный стальной трос"
"199","02552900302201090","Подшипник, не требующий смазки","А","3",""
"200","02552900302201150","Стопорная плита","А","1",""
"201","1040100378","Винт","B","4","GB/T70.1-2000"
"202","1040300514","Шайба","А","8","GB/T97.1-2002"
"203","02552900302201070","Крышка шкива","А","3",""
"204","02552900302201190","Крепежный стержень","А","2",""
