"No
.","Material No.","Item and Spec","Qt
y","Note"
"1","1040004508","Bolt M10×45-8.8","4","GB/T5783-2000"
"2","00772700100001020","Rubber pad Tp10","2",""
"3","1040200504","Nut M10-8","4","GB/T889.1-2000"
"4","1040302512","Washer 10-200HV","8","GB/T96.1-2002"
"5","1040200503","Nut M8-8","2","GB/T889.1-2000"
"6","1040301515","Washer 8-200HV","4","GB/T97.1-2002"
"7","1040102738","Screw M8×55-8.8","2","GB/T70.1-2000"
"8","00772700100800000","Anemograph mounting 
bracket","1",""
"9","00771600101400000","Platform hydraulic valve 
protective cover","1",""
"10","00771900100600000","Hydraulic valve weld","1",""
"11","1040102372","Hexagon socket head cap 
screws M6×20-A2-70","2","GB/T70.1-2000"
"12","1040006017","Screw M6×25-A2-70","4",""
"13","1040300‘00771","Washer 6-200HV","15","GB/T97.1-2002"
"14","1040101643","Screw M6×30-A2-70","3","GB/T70.1-2000"
"15","00773406300201010","Gasket Tp2","3",""
"16","1040201896","Nut M6-8","9","GB/T889.1-2015"
"17","1040006525","Bolt M12×30-10.9","8",""
"18","00771400100401080","Home-made bolt 42","1",""
"19","1040302490","Washer 12-200HV","8","GB/T97.1-2002"
"20","1040004653","Bolt M12×30-10.9","8","GB/T5783-2000"
"21","1040201111","Nut M24-10","1","GB/T889-1986"
"22","1040301511","Washer 24-200HV","3","GB/T97.1-2002"
"23","00772700100400000","Tray assembly","1",""
"24","1040302821","Washer 12-200HV","2","GB/T96.1-2002"
"25","1040102042","Screw M12×20-10.9-DKL","2","GB/T70.1-2000"
"26","00772700110200000","Platform assembly","1",""
