"No
.","Material No.","Item and Spec","Qty","Note"
"1","1040001703","Bolt M12×65-10.9","2","GB/T5782-2000"
"2","1040006458","Strengthen step bolt M12×50-8.8 
(full thread)","1",""
"3","1040201381","Nut M12-8","1","GB/T6170-2000"
"4","1040302490","Washer 12-200HV","4","GB/T97.1-2002"
"5","1040201163","Nut M12-10","2","GB/T889.1-2000"
"6","00772700100410001","Transition seat","1",""
"7","02564400100401010","Linkage","2",""
"8","00773400130401040","Block I","8",""
"9","00771900311001240","Roller bearing O33×4","8",""
"10","02564400100401020","Axle I","4",""
"11","02564400100401030","Stop pin Φ8×50","4",""
"12","1040004646","Bolt M10×15-8.8","4","GB/T5783-2000"
"13","1040103112","Screw M8×25-8.8","7","GB/T70.1-2000"
"14","1040200503","Nut M8-8","4","GB/T889.1-2000"
"15","00773400130401060","Block III","2",""
"16","1040301515","Washer 8-200HV","3","GB/T97.1-2002"
"17","00773400100401040","Block Tp30","1",""
"18","00771400120420001","Tray weld","1",""
