"o.","Material No.","Item and Spec","Qty","Note"
"1","1040300735","Washer 6-200HV","3","GB/T96.1-2002"
"2","1040002738","Bolt M6×12 -A2-70","3","GB/T5783-2000"
"3","00772700800001060","Water fender Tp3","1",""
"4","1040001640","Bolt M6×25 -A2-70","2","GB/T5783-2000"
"5","1040300771","Washer 6-200HV","2","GB/T97.1-2002"
"6","1040201896","Nut M6-8","2","GB/T889.1-2015"
"7","00771100800001120","Electrical switch bracket Tp5","1",""
"8","1040004518","Bolt M8×20 -8.8","1","GB/T5783-2000"
"9","00772700800001050","Battery supporting plate Tp6","1",""
"10","1040200504","Nut M10-8","4","GB/T889.1-2000"
"11","00772700800001200","Pressing plate ITp5","2",""
"12","00772700800001190","Pull rod Iφ16*","4",""
"13","1040002436","Bolt M12×25 -8.8","8","GB/T5783-2000"
"14","1040302490","Washer 12-200HV","12","GB/T97.1-2002"
"15","00772500800001070","Main valve bracket Tp5","1",""
"16","00772500800001220","Hydraulic tank bracket Tp10","1",""
"17","00772500800001210","Fuel tank bracket Tp8","1",""
"18","1040006314","Bolt M20×50 -10.9","10",""
"19","1040301506","Washer 20","10","GB/T93-1987"
"20","1040302493","Washer 20-200HV","10","GB/T97.1-2002"
"21","00772500800200000","Turntable weldment","1",""
"22","1040004499","Bolt M20×45 -8.8","3","GB/T5783-2000"
"23","00772700800001100","Stop pin φ25×162*","3",""
"24","00772500800001010","Pin Iφ100*","1",""
"25","00772700800001120","Spacer bush Ow98×3*","2",""
"26","00772500800001030","Pin IIφ90*","2",""
"27","00772500800001130","Lubrication-free bearing O100×5","8",""
"28","1040004593","Bolt M10×55 -8.8","2","GB/T5782-2000"
"29","00771400800001100","Block T28*","1",""
"30","00771400800001111","Adjustable gasket Tp1","2",""
