"No.","Material No.","Item and Spec","Qty","Note"
"1","02553207100401060/A","Fuel pipe III","1",""
"2","02553207100401080/B","Fuel filter bracket II","1",""
"3","1040202855","Nut M8-8","11",""
"4","1040301515","Washer 8-200HV","11",""
"5","1040004520","Bolt M8×30-8.8","8",""
"6","1040102737","Screw M8×30-8.8","3",""
"7","02553207100401050/A","Fuel pipe II","1",""
"8","00773407150401030/A","JointII","2",""
"9","1081000528","Combined seal washer","4",""
"10","00773407150401020/A","Hollow bolt","2",""
"11","02553207100401070/B","Fuel filter bracket","1",""
"12","02553200800001020/A","Bracket","1",""
"13","1040002436","Bolt M12×25-8.8","4",""
"14","1040302490","Washer 12-200HV","4",""
"15","02553207100401040/A","Fuel pipe I","1",""
"16","1040002434","Bolt M10×25-8.8","4",""
"17","1040302512","Washer 10-200HV","4",""
"18","00771607110410000/C","Fuel tank assembly","1",""
"19","1990202279","Turbine rod clamp 12-20","2",""
