"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"6","02554000300800000","Fourth-section boom weldment","C","1",""
"16","1040302489","Washer","B","50","GB/T97.1-2002"
"42","00771600301001470","Wear spacer II","B","20",""
"47","00772700302201282","Lubrication-free bearing","B","4",""
"98","1040302489","Washer","B","36","GB/T97.1-2002"
"117","02554000302201050","No.3 extending wire rope","A","2",""
"206","02554000302201090","Third extension pulley guard","A","2",""
"207","1040004581","Bolt","A","6","GB/T5783-2000"
"208","02554000302260000","No.3 extending pulley","B","2",""
"209","00772700301850000","Pulley pin weldment","B","2",""
"210","1040002433","Bolt","A","2","GB/T5783-2000"
