"№ п/п","Код материалов","Наименование и спецификация  Версия  Кол-","","","во","Примечание"
"37","02554000200801070","Шток рычага телескопического 
цилиндра","","А","2",""
"38","00771400210001180","Стопорный штифт","","C","2",""
"39","1040004511","Болт","","А","2","JB/T5783-2016"
"116","02554000200801210","Оцинкованный стальной трос для 
выдвижения стрелы","","А","2",""
"117","02554000200801220","Оцинкованный стальной трос для 
втягивания стрелы","","А","2",""
"118","1040301515","Шайба","","А","25","GB/T97.1-2002"
"119","02554000200800099","Модель болта с потайной головкой","","А","2","GB/T70.3-2008"
"120","1040004519","Болт","","А","5","JB/T5783-2000"
"121","1040201646","Гайка","","А","4","JB/T6170-2000"
"122","1040006095","Шестигранный болт","","А","2","JB/T5782-2000"
"123","02554000200860000","Гнездо стального троса","","А","1",""
"124","1040302512","Шайба","","А","8","GB/T96.1-2002"
"125","1040004518","Болт","","А","2","JB/T5783-2000"
"126","1040101412","Винт","","А","2","GB/T70.1-2000"
"127","00771600301001231","Направляющий стержень","","B","2",""
"128","02554000200801050","Скоба стального троса","","А","1",""
"129","00771400300801350","Датчик","","А","2",""
"130","02554000200801080","Защитная планка шкива 
втягивающей стрелы","","А","2",""
"131","02554000200801140","Монтажная планка датчика","","А","2",""
"132","00771400300801020","Пружина","","B","2",""
"133","00771400310001020","Подшипник, не требующий смазки","","C","2",""
"134","02554000200840000","Шкив для втягивания стрелы","","B","2",""
"135","1040202855","Гайка","","А","4","GB/T889.1-2000"
"136","1040004619","Болт","","А","4","JB/T5783-2000"
"137","02551500300830000","Сварная деталь 
противовращательной трубы","","C","2",""
"138","02554000200801040","Сухарь шкива","","B","1",""
"139","02554000200801130","Боковой сухарь шкива","","А","2",""
"140","02554000200850000","Штифт шкива выдвигающей стрелы","","А","1",""
"141","02554000200801101","Подшипник, не требующий смазки","","А","2",""
"142","00771600301001460","Износостойкая прокладка I","","C","6",""
"143","1040303580","Шайба","","А","1","GB/T96.1-2002"
"144","1040004517","Болт","","А","5","JB/T5783-2000"
"145","02554000200820000","Шкив для выдвижения стрелы","","B","1",""
"146","00771400300830001","Постоянный ролик","","B","2",""
"147","1040103558","Винт","","А","8","GB/T70.3-2008"
