"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600800200001","Сварной элемент поворотной 
платформы","C","1",""
"13","1040301503","Шайба","А","19","JB/T93-1987"
"28","1040004519","Болт","А","13","JB/T5783-2000"
"29","1040301515","Шайба","А","25","GB/T97.1-2002"
"66","1040004029","Болт","А","11","JB/T5783-2000"
"73","1040302821","Шайба","А","7","GB/T96.1-2002"
"75","00772700800001140","Опорная плита    выключателя","C","1",""
"76","02554600800001060","Монтажная планка центрального 
поворотного соединения","А","1",""
"77","1040006269","Болт","А","4","JB/T5783-2000"
"78","1040004518","Болт","А","7","JB/T5783-2000"
