"№ п/п","Код материалов","Наименование и спецификация","Версия","Кол-
во","Примечание"
"1","1039820604","Эластичное стопорное кольцо для 
отверстия","А","1","DIN472"
"2","1039820563","Стопорное кольцо","А","1",""
"3","1039820564","Втулка пружины","А","1",""
"4","1110800132","Малая пружина","А","16",""
"5","1039820565","Х-образное уплотнительное кольцо","А","1",""
"6","1039820566","Упорное уплотнительное кольцо","А","2",""
"7","1039820567","Поршень","А","1",""
"8","1039820568","Х-образное уплотнительное кольцо","А","1",""
"9","1040304459","Упорное уплотнительное кольцо","А","2",""
"10","1030600094","Динамическая фрикционная пластинка","А","5",""
"11","1030600093","Дугообразная пластина статического 
трения","А","6",""
"12","1039820569","Узел входного шлицевого вала","А","1",""
"13","1039820570","Стопорное кольцо проволочное для 
отверстия","А","1","GB895.1 -86"
"14","1050202952","Шариковый подшипник с глубоким 
желобом","А","1","GB276-94"
"15","1039820571","Пружинящее стопорное кольцо вала","А","6","GB894.2 -86"
"16","1039820572","Пружина","А","1",""
"17","1039820573","Корпус тормоза","А","1",""
"18","1039820574","Плавающий сальник","А","1",""
"19","1039820575","Винт с цилиндрической головкой и 
внутренней шестигранью","А","12","GBT70.1 -2000"
"20","1039820576","Седло плавающего уплотнения","А","1",""
"21","1039820577","О-образное кольцо","А","2","JB/T3452.1"
"22","1039820578","Конический роликоподшипник","А","2",""
"23","1039820579","Стопорное кольцо","А","1",""
"24","1039820580","Контргайка","А","1",""
"25","1039820581","Стопорное кольцо","А","1",""
"26","1039820582","Планетарное колесо","А","5",""
"27","1039820583","Цилиндрический роликоподшипник","А","5",""
"28","1040009058","Стопорный болт","А","20",""
"29","1039820584","Внутренний зубчатый обод","А","1",""
"30","1039820585","Солнечное зубчатое колесо","А","1",""
"31","1039820586","Планетарный каркас","А","1",""
"32","1039820587","Эластичное стопорное кольцо для 
отверстия","А","6","GB893.2 -86"
"33","1039820588","Стопорное кольцо","А","6",""
"34","1039820589","Планетарное колесо","А","3",""
"35","1050202955","Цилиндрический роликоподшипник","А","3",""
