"№ 
п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"23","1020521445","Качающийся переключатель","А","10","TN8A_107EY_N_C/H01"
"24","1020521443","Качающийся переключатель","А","1","TN8A_101EY_N_C/H01"
"25","1020810958","Качающийся переключатель","А","1","TN8A_108EY_N_C/H01"
"26","1029907663","Водонепроницаемый чехол","А","1","D-15-PBM-12M"
"27","1029805597","Кнопка","А","1","PBM-12M11-DS-N- 
NNB1S"
"28","1022099109","Дисплей","А","1","DL-DIS55"
"29","1020521444","Качающийся переключатель","А","1","TN8A_103EY_N_C/H01"
"30","00771206200130030","Защитный кожух электрического 
шкафа управления платформой","А","1",""
"31","1020520995","Потенциометр","А","1","DD40HS1ZLG"
"32","1029802085","Нейлоновая заглушка","А","8","DPK-M12B"
"33","1029804205","Затяжная гайка","А","8","GMK-M12B"
"34","1020522210","Аварийный выключатель","B","1","TCBT42 UL"
"35","1020520994","Рычаг","А","1","D10BHD2AK4ZOZ LG"
"36","1020520993","Рычаг","А","1","D10AHS2AK2ZOZ LG"
"37","1040001122","Болт","А","8","JB/T5783-2000"
"38","1040300514","Шайба","А","8","GB/T97.1-2002"
