"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","1029900403","Защитная оболочка розетки","А","1","192900--0425"
"2","1022270089","Штепсель ITT","А","1","192900--0055"
"3","1022202106","Оболочка","А","2","282080--1"
"4","1022290278","26-жильный разъемный 
соединитель","А","1","2405028--1"
"5","1020709470","Оболочка","А","1","2445860--1"
"6","1020709929","2-жильный штепсель","А","3","AT04-2P-RD01"
"7","1020709930","2-жильная розетка","А","5","AT06-2S-RD01"
"8","1020404399","Лампа предупреждения","B","1","JD90A-H03Y012"
"9","1020522288","Концевой выключатель","А","1","ZCP21+ZCE01+ZC 
Y25+ZC PEP16"
"10","1029907518","Проводящее контактное кольцо","А","1","XC025-10-EN"
"11","1020710230","6-жильная розетка","А","1","AT04-6P-RD01"
"12","1020710235","6-жильный штепсель","А","1","AT06-6S-RD01"
"13","1020710239","4 штепселя высокого тока","А","1","ATP04-4P-RD01"
"14","1020710241","4 штепселя высокого тока","А","1","ATP06-4S-RD01"
"15","1020710240","2 штепселя высокого тока","А","1","ATP06-2S-RD01"
"16","1029901593","О-образный голый терминал","А","1","GQ-OT2.5-8"
"17","1021407544","Датчик давления","А","3","KM-XE1G-B04C-S- 
1-00- 00- 
XXXXX000-B50-"
"18","1020710234","4-жильный штепсель","А","3","AT06-4S-RD01"
"19","1029901599","О-образный голый терминал","А","1","GQ-OT4-10"
"20","1021407047","Датчик угла наклона","А","1","MSS-520"
"21","1029901598","О-образный голый терминал","А","1","GQ-OT4-8"
"22","1020304982","Зуммер","B","1","GFB-202-G"
"23","1029901585","О-образный голый терминал","А","2","GQ-OT1.5-4"
"24","025546062G0510010","Пучок кабеля поворотной 
платформы","А","1",""
