"№ п/п","Код материалов","Наименование и спецификация","","","","Версия","Кол-во","Примечание"
"12","00771407010401203","Знак заправки топлива по стандарту 
выбросов Евро-V 2","","","","А","1",""
"19","00772707000201252","Знак шума -100dB","","","","А","1",""
"26","02554607070441020","Маркировка поворотной 
платформы ZT82J в сборе (на 
английском языке)","","","","А","1",""
"27","02551707000401092","Бак дизельного топлива","","","","А","1",""
"28","00771407000401202","Идентификация заправки топлива","","","","А","1",""
"30","00773407000401522","Запуск при низкой температуре Ⅱ","","","","А","1",""
"31","00773407000401082","Описание светового индикатора 
земли","","","","А","1",""
"33","00773407000401142","Коробка управления рабочей 
платформой","","","","А","1",""
"34","00773407000401223","Описание светового индикатора 
платформы","","","","А","1",""
"36","02554607070441010","Маркировка платформы ZT82J в 
сборе (на английском языке)","","","","А","1",""
"38","02551507030401112","Знак безопасности топливного бака","","","","А","1",""
"43","00771407000401162","Гидравлический бак","","","","А","2",""
"47","00771407000401342","Диагностическая система контроля 
выбросов","","","","А","1",""
"48","00771407000401362","Знак добавки смазочного масла, 
соответствующего стандарту 
выбросов Евро-V","","","","А","1",""
"49","00771407000401212","Знак предупреждения высокой 
температуры","","","","А","1",""
"50","00771407000401352","Меры предосторожности при 
использовании контрольных ламп 
приборов по стандарту выбросов 
Евро-V","","","","А","1",""
"51","02553207000401012","Предостережение о развертывании 
кронштейна двигателя","","","","А","1",""
"52","02553207000401022","Инструкции по развертыванию 
кронштейна двигателя","","","","А","1",""
"53","02553207000401032","Знак хомута","","","","А","2",""
"54","00775607000401323","Знак неизоляции","","","","А","2",""
"55","00771407000401192","QR-код","","","","А","1",""
"56","00771407000401372","Инструкции по доливке мочевины 
по стандарту выбросов Евро-V","","","","А","1",""
