"№ п/п","Код материалов","Наименование и спецификация","","Версия  Кол-во  Примечание",""
"12","02551507030601123","Знак безопасности добавки топлива, 
соответствующего стандарту выбросов 
Китай-IV","А","1",""
"19","00772707000201252","Знак шума -100dB","А","1",""
"26","02554607070641020","Маркировка поворотной платформы 
ZT82J в сборе (на китайском языке)","А","1",""
"27","02551707000601092","Бак дизельного топлива","А","1",""
"28","00771407000601312","Знак добавки топлива, 
соответствующего стандарту выбросов 
Китай-IV","А","1",""
"44","00771407000401192","QR-код","А","1",""
"30","00773407000601522","Запуск при низкой температуре Ⅱ","А","1",""
"31","00773407000601083","Описание светового индикатора земли","А","1",""
"33","00773407000601143","Коробка управления рабочей 
платформой","А","1",""
"34","00773407000601224","Описание светового индикатора 
платформы","А","1",""
"36","02554607070641010","Маркировка платформы ZT82J в сборе 
(на китайском языке)","А","1",""
"38","02551507030601113","Знак безопасности топливного бака","А","1",""
"43","00771407000601163","Знак гидравлического бака","А","2",""
"47","00771407000601343","Диагностическая система контроля 
выбросов","А","1",""
"48","00771407000601333","Знак добавки смазочного масла, 
соответствующего стандарту выбросов 
Китай-IV","А","1",""
"49","00771407000601322","Знак сигнализации высокой 
температуры регенерации","А","1",""
"50","00771407000601352","Меры предосторожности при 
использовании индикаторных ламп 
приборов","А","1",""
"51","02553207000601012","Предостережение о развертывании 
кронштейна двигателя","А","1",""
"52","02553207000601022","Инструкции по развертыванию 
кронштейна двигателя","А","1",""
"53","02553207000601032","Знак хомута","А","2",""
"54","00775607000601323","Знак неизоляции","А","2",""
