"№ п/п","Код материалов","Наименование и спецификация  Версия  Кол-","","","","","во","Примечание"
"12","00771407010801203","Знак заправки топлива по стандарту 
выбросов Евро-V 2","","","","А","1",""
"19","00772707000201252","Знак шума -100dB","","","","А","1",""
"26","02554607070841020","Маркировка поворотной 
платформы ZT82J в сборе (на 
французском языке)","","","","А","1",""
"27","02551707000801092","Знак бака дизельного топлива","","","","А","1",""
"28","00771407000801202","Идентификация заправки топлива","","","","А","1",""
"30","00773407000801522","Запуск при низкой температуре Ⅱ","","","","А","1",""
"31","00773407000801082","Описание светового индикатора 
земли","","","","А","1",""
"33","00773407000801142","Коробка управления рабочей 
платформой","","","","А","1",""
"34","00773407000801223","Описание светового индикатора 
платформы","","","","А","1",""
"36","02554607070841010","Маркировка платформы ZT82J в 
сборе (на французском языке)","","","","А","1",""
"38","02551507030801112","Знак безопасности топливного бака","","","","А","1",""
"43","00771407000801162","Гидравлический бак","","","","А","2",""
"47","00771407000801342","Диагностическая система контроля 
выбросов","","","","А","1",""
"48","00771407000801362","Знак добавки смазочного масла, 
соответствующего стандарту 
выбросов Евро-V","","","","А","1",""
"49","00771407000801212","Знак предупреждения высокой 
температуры","","","","А","1",""
"50","00771407000801352","Меры предосторожности при 
использовании контрольных ламп 
приборов по стандарту выбросов 
Евро-V","","","","А","1",""
"51","02553207000801012","Предостережение о развертывании 
кронштейна двигателя","","","","А","1",""
"52","02553207000801023","Инструкции по развертыванию 
кронштейна двигателя","","","","А","1",""
"53","02553207000801033","Знак хомута","","","","А","2",""
"54","00775607000801323","Знак неизоляции","","","","А","2",""
"55","00771407000401192","QR-код","","","","А","1",""
"56","00771407000801373","Инструкции по доливке мочевины 
по стандарту выбросов Евро-V","","","","А","1",""
