"№ п/п","Код материалов","Наименование и спецификация  Версия  Кол-","","","","во","Примечание"
"12","00771407012001203","Знак заправки топлива по стандарту 
выбросов Евро-V 2","","","А","1",""
"19","00772707000201252","Знак шума -100dB","","","А","1",""
"26","02554607072041020","Маркировка поворотной 
платформы ZT82J в сборе (на 
испанском языке)","","","А","1",""
"27","02551707002001092","Бак дизельного топлива","","","А","1",""
"28","00771407002001202","Идентификация заправки топлива","","","А","1",""
"30","00773407002001523","Запуск при низкой температуре","","","А","1",""
"31","00773407002001083","Описание светового индикатора 
земли","","","А","1",""
"33","00773407002001143","Инструкция коробки управления 
рабочей платформы","","","А","1",""
"34","00773407002001224","Описание светового индикатора 
платформы","","","А","1",""
"36","02554607072041010","Маркировка платформы ZT82J в 
сборе (на испанском языке)","","","А","1",""
"38","02551507032001112","Знак безопасности топливного бака","","","А","1",""
"43","00771407002001163","Знак гидравлического бака","","","А","2",""
"47","00771407002001343","Диагностическая система контроля 
выбросов","","","А","1",""
"48","00771407002001362","Знак добавки смазочного масла","","","А","1",""
"49","00771407002001212","Знак предупреждения высокой 
температуры","","","А","1",""
"50","00771407002001352","Меры предосторожности при 
использовании индикаторных ламп 
приборов","","","А","1",""
"51","02553207002001013","Предостережение о развертывании 
кронштейна двигателя","","","А","1",""
"52","02553207002001023","Инструкции по развертыванию 
кронштейна двигателя","","","А","1",""
"53","02553207002001033","Знак хомута","","","А","2",""
"54","00775607002001324","Знак неизоляции","","","А","2",""
"55","00771407000401192","QR-код","","","А","1",""
"56","00771407002001373","Инструкции по доливке мочевины 
по стандарту выбросов Евро-V","","","А","1",""
