"序号","物料编码","名称及规格","版本","件数","备注"
"1","1140221212","胶管总成","A","1",""
"2","1140226555","胶管总成","A","1",""
"3","1140257586","胶管总成","A","1",""
"4","1140267384","胶管总成","A","1",""
"5","1140267384(2)","胶管总成","A","1",""
"6","1140207258","胶管总成","A","1",""
"7","1140280504","胶管总成","A","1",""
"8","1140257586(2)","胶管总成","A","1",""
"9","1140267448","胶管总成","A","1",""
"10","1140254265","胶管总成","A","1",""
"11","1140278780","胶管总成","A","1",""
"12","1140260601","胶管总成","A","1",""
"13","1140251170","胶管总成","A","1",""
"14","1140265153","胶管总成","A","1",""
"15","1140301854","胶管总成","A","1",""
"16","1140265153(2)","胶管总成","A","1",""
"17","1011402191","胶管总成","A","1",""
"18","1140217181","胶管总成","A","1",""
"19","1140265153(3)","胶管总成","A","1",""
"20","1140284113","胶管总成","A","1",""
"21","1140304898","胶管总成","A","1",""
"22","1140304899","胶管总成","A","1",""
"23","1140304899(2)","胶管总成","A","1",""
"24","1140304900","胶管总成","A","1",""
"25","1140217439","胶管总成","A","1",""
"26","1140236888","胶管总成","A","1",""
"27","02150605201220050","焊接钢管001","A","1",""
"28","02150605201220060","焊接钢管002","A","1",""
"29","02150605201220070","焊接钢管003","A","1",""
"30","02150605201220080","焊接钢管004","A","1",""
