"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151605300410001","焊接钢管包","C","1",""
"2","1140102868","对接式变径接头","A","1","RED20S/15LOMDA
3C"
"3","1060300302","直通变径组合接头 M22×1.5/M14×
1.5","A","1","RED15/08LOMDCF"
"4","1140101629","螺塞 G3/8","A","1","VSTI3/8EDCF"
"5","1140101465","端直通接头 G3/8/M22×1.5","A","2","GE15LR3/8EDOMD
CF"
"6","1140101478","直角组合接头 M22×1.5","A","5","EW15LOMDCF"
"7","1019901008","直通组合接头","B","6","GZ15LCF"
"8","1140101737","直角组合接头 M36×2","A","1","EW28LOMDCF"
"9","1019900975","堵头","A","2","VSTI1/4EDCF"
"10","1140105914","直通隔板式接头 φ18","B","6","SV18LOMDCF"
"11","1140108020","接头","A","3","EW18L0MDCF"
"12","1140101488","三通组合接头 M26×1.5","A","1","EL18LOMDCF"
"13","02151605300440001","钢管包","A","1",""
"14","02151605300401041","管夹φ18盖板 Tp8","A","2",""
"15","02151605300401021","管夹φ18 Tp20","A","2",""
"16","1040104027","螺钉 M8×70-8.8","A","4","GB/T70.1-2000"
"17","1140101665","端直通接头 M26×1.5","A","2","G18LCFX"
"18","1040301515","垫圈 8-200HV","A","6","GB/T97.1-2002"
"19","1140115067","直通接头 M14×1.5","A","8","GEO10LMOMDA3
C"
"20","1140101487","三通组合接头 M16×1.5","A","3","EL10LOMDCF"
"21","1140101476","直角组合接头 M16×1.5","A","4","EW10LOMDCF"
"22","1140105660","直角可调向接头","A","4","WEE15LMOMDA3
C"
"23","1140101704","直角组合接头 M45×2","A","1","EW35LOMDCF"
"24","02151605300430001","回油块安装组件","B","1",""
"25","1159901456","直通变径组合接头 M45×2/M26×1.5","A","1","RED35/18LOMDCF"
"26","1140108070","接头","A","1","RED35/22LOMDCF"
"27","1140101904","直路三通组合接头 M45×2","A","2","EL35LOMDCF"
"28","1140218222","接头 G1A-φ35","A","1","GE35LR1EDOMDC
F"
"29","1040007540","螺栓 M8×130-8.8","A","2","GB/T5782-2000"
"30","02151605300401031","管夹φ35盖板 Tp8","A","1",""
"31","02151605300401051","管夹φ38 Tp40","A","1",""
"32","02151605300401061","管夹φ45 Tp40","A","1",""
"33","1140114451","45度组合接头","A","1","EV10LOMD"
"34","1140101793","三通组合接头 M16×1.5","A","1","ET10LOMDCF"
