"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"143","02151605300410021","welded steel pipe","A","1",""
"144","02151605300410031","welded steel pipe","A","1",""
"145","02151605300410041","welded steel pipe","A","1",""
"146","02151605300410051","welded steel pipe","A","1",""
"147","02151605300410061","welded steel pipe","A","1",""
"148","02151605300410071","welded steel pipe","A","1",""
"149","02151605300410011","welded steel pipe","A","1",""
"150","02151605300410170","welded steel pipe","A","1",""
"151","02151605300410121","welded steel pipe","A","1",""
"152","02151605300410111","welded steel pipe","A","1",""
"153","02151605300410101","welded steel pipe","A","1",""
"154","02151605300410091","welded steel pipe","A","1",""
"155","02151605300410160","welded steel pipe","A","1",""
