"NO.","Material No.","Item and Spec","Qty","Remark"
"1","00773407000201431","lifting point","4",""
"2","02151607010201101","label assembly XⅠ","2",""
"3","02151607010201200","液压油箱高油位标识","1",""
"4","02151607010201190","液压油箱低油位标识","1",""
"5","02151607010201021","label assemblyⅡ","1",""
"6","02151607010201211","ZTH3513 Model label-1","1",""
"7","02151607010201370","爆炸的危险标识","1",""
"8","02151607010201350","refuel as instruction","1",""
"9","02151607010201170","low oil level label","1",""
"10","02151607010201160","high oil level label","1",""
"11","00773407000201421","binding point","4",""
"12","02151607010201111","tire tilting hazard","2",""
"13","02151607010201380","夹手的危险标识","1",""
"14","02151607010201011","label assemblyⅠ","1",""
"15","02151607010201450","标识总成 X","1",""
"16","02151607010201221","ZTH3513 Model label-2","1",""
"17","00773407000201181","No stepping","2",""
"18","02151607010201071","label assemblyⅦ","1",""
"19","02151607010201080","label assemblyⅧ","2",""
"20","02151607010201400","label assembly IX","1",""
"21","02151607010201231","ZOOMLION Label-1","1",""
"22","02151607010201141","emergency exit","1",""
"23","02151607010201240","ZOOMLION Label-2","1",""
"24","02151607010201052","label assemblyⅤ","1",""
"25","02151607010201181","操作手要求","1",""
"26","02151607010201152","transportation and lifting instruction","1",""
"27","02151607010201041","label assemblyⅣ","1",""
"28","02151607010201121","burn hazard","1",""
"29","02151607010201131","power switch","1",""
"30","02151607010201360","No touch","1",""
"31","02151607010201061","label assembly VI","1",""
"32","02151607010201031","label assemblyⅢ","1",""
"33","02151607010201091","轮胎倾轧危险标识","3",""
