"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"8","1040300771","Шайба","А","6","GB/T97.1-2002"
"9","1040002738","Болт","А","6","JB/T5783-2000"
"10","1040200503","Гайка","А","2","GB/T889.1-2000"
"11","1040301515","Шайба","А","2","GB/T97.1-2002"
"12","1040004619","Болт","А","2","JB/T5783-2000"
"13","02571800400001200","Ограничительный    планка","А","1",""
"14","02571800400001120","Монтажная планка датчика 
длинного угла","А","1",""
"15","00773400300001050","Подшипник","А","10",""
"16","02574000400001090","Буферная регулировочная 
шайба (1 мм)","А","2",""
"17","02574000400001080","Буферная регулировочная 
шайба (2 мм)","А","1",""
"18","1040302489","Шайба","B","22","GB/T97.1-2002"
"19","1040002433","Болт","А","10","JB/T5783-2000"
"20","1040101995","Винт","А","2","GB/T70.1-2000"
"21","02574000400001053","Вкладыш","А","1",""
"22","02571800401201030","Регулировочная шайба (1 мм))","B","4",""
"23","02571800401201020","Регулировочная шайба (2 мм)","B","2",""
"24","02571800402000000","Узлы ползуна","А","3",""
"25","00773400310001160","Регулировочная шайба (1 мм))","А","4",""
"26","1040004646","Болт","А","4","JB/T5783-2000"
"27","00773400312800000","Узлы ползуна","B","4",""
"28","02571800401201010","Регулировочная шайба (2 мм)","А","2",""
"29","1040002434","Болт","А","6","JB/T5783-2016"
"30","02571800401210000","Ползун","А","2",""
